Data;Tipo;Voce;Descrizione;Importo;Conto
12/08/2025;Costi;INVESTIMENTI - Crypto;Bifinity;25,00 €; CartaDiCredito
13/08/2025;Ricavi;Proventi Primo Pilastro;Interest earned - Primo Pilastro - Fondo Emergenza;0,10 €; Revolut
13/08/2025;Costi;INVESTIMENTI - Crypto;Bifinity;15,00 €; CartaDiCredito
14/08/2025;Costi;HOBBY - Calcio Napoli;Abbonamento Napoli;201,59 €; Unicredit
14/08/2025;Costi;VACANZE;Lido Berlino;43,00 €; Unicredit
14/08/2025;Ricavi;Proventi Primo Pilastro;Interest earned - Primo Pilastro - Fondo Emergenza;0,10 €; Revolut
14/08/2025;Costi;VACANZE;NON SOLO PANE;8,00 €; CartaDiCredito
14/08/2025;Costi;VACANZE;DONNARUMMA BEACH SRLS;55,00 €; CartaDiCredito
15/08/2025;Ricavi;Proventi Primo Pilastro;Interest earned - Primo Pilastro - Fondo Emergenza;0,09 €; Revolut
16/08/2025;Ricavi;Proventi Primo Pilastro;Interest earned - Primo Pilastro - Fondo Emergenza;0,10 €; Revolut
16/08/2025;Costi;VACANZE;HOTEL CLUB SANTA SABIN;19,50 €; CartaDiCredito
16/08/2025;Costi;VACANZE;HOTEL CLUB SANTA SABIN;2,80 €; CartaDiCredito
16/08/2025;Costi;INVESTIMENTI - Crypto;Bifinity;10,00 €; CartaDiCredito
17/08/2025;Ricavi;Proventi Primo Pilastro;Interest earned - Primo Pilastro - Fondo Emergenza;0,10 €; Revolut
17/08/2025;Costi;VACANZE;HOTEL CLUB SANTA SABIN;4,10 €; CartaDiCredito
18/08/2025;Ricavi;Proventi Primo Pilastro;Interest earned - Primo Pilastro - Fondo Emergenza;0,10 €; Revolut
18/08/2025;Ricavi;;Google Pay top-up by *3035;20,00 €; Revolut
18/08/2025;Costi;INVESTIMENTI - SCC;Revolut**6063*;20,00 €; CartaDiCredito
18/08/2025;Costi;VACANZE;JUST SMILE;14,00 €; CartaDiCredito
19/08/2025;Costi;VACANZE;HoteL Torre Santa Sabina;1,30 €; Unicredit
19/08/2025;Ricavi;Proventi Primo Pilastro;Interest earned - Primo Pilastro - Fondo Emergenza;0,10 €; Revolut
19/08/2025;Costi;INVESTIMENTI - SCC;PayPal;31,55 €; Revolut
19/08/2025;Ricavi;INVESTIMENTI - SCC;Microgame Www,;12,10 €; Revolut
19/08/2025;Costi;INVESTIMENTI - SCC;Revolut**6063*;19,00 €; CartaDiCredito
19/08/2025;Costi;INVESTIMENTI - SCC;Revolut**6063*;30,00 €; CartaDiCredito
20/08/2025;Ricavi;Proventi Primo Pilastro;Interest earned - Primo Pilastro - Fondo Emergenza;0,10 €; Revolut
21/08/2025;Costi;SALUTE - Farmaci;Farmacia Dora;30,80 €; Unicredit
21/08/2025;Costi;VACANZE;HoteL Torre Santa Sabina;25,00 €; Unicredit
21/08/2025;Ricavi;Proventi Primo Pilastro;Interest earned - Primo Pilastro - Fondo Emergenza;0,07 €; Revolut
22/08/2025;Costi;RISPARMI - Conto Deposito Peppe;Revolut**6063*;300,00 €; Unicredit
22/08/2025;Costi;BANCA - Costi;Bonifico;2,47 €; Unicredit
22/08/2025;Ricavi;Stipendio;Agosto;2.904,25 €; Unicredit
22/08/2025;Ricavi;Proventi Primo Pilastro;Interest earned - Primo Pilastro - Fondo Emergenza;0,08 €; Revolut
23/08/2025;Costi;INVESTIMENTI - SCC;bet365;30,00 €; Revolut
23/08/2025;Ricavi;Proventi Primo Pilastro;Interest earned - Primo Pilastro - Fondo Emergenza;0,09 €; Revolut
24/08/2025;Ricavi;Proventi Primo Pilastro;Interest earned - Primo Pilastro - Fondo Emergenza;0,08 €; Revolut
25/08/2025;Costi;SPESA - Delivery;Gelateria;10,00 €; Unicredit
25/08/2025;Ricavi;Proventi Primo Pilastro;Interest earned - Primo Pilastro - Fondo Emergenza;0,09 €; Revolut
26/08/2025;Costi;PIATTAFORME - Sony Playstation;ADDEBITO SEPA DD PER FATTURA A VOSTRO CARICO      Incasso 1044421350065                             SDD da LU96ZZZ0000000000000000058                 PayPal Europe S.a.r.l. et Cie S.C.A               mandato nr. 52N2224VZTXEJ                         Per 1044421350065/PAYPAL;8,99 €; Unicredit
26/08/2025;Costi;SPESA - Quotidiana;Pescheria;42,47 €; Unicredit
26/08/2025;Costi;SPESA - Quotidiana;DECO';20,05 €; Unicredit
26/08/2025;Costi;SALUTE - Farmaci;Farmacia Maglione;57,27 €; Unicredit
26/08/2025;Ricavi;Proventi Primo Pilastro;Interest earned - Primo Pilastro - Fondo Emergenza;0,09 €; Revolut
26/08/2025;Ricavi;Proventi Primo Pilastro;Interest earned - Secondo Pilastro - SCC;0,01 €; Revolut
27/08/2025;Costi;PERSONALI - Vestiti;PAYPAL *PAGA IN 3 RATE;66,00 €; CartaDiCredito
27/08/2025;Costi;PIATTAFORME - Netflix;ADDEBITO SEPA DD PER FATTURA A VOSTRO CARICO      Incasso 1044448990348                             SDD da LU96ZZZ0000000000000000058                 PayPal Europe S.a.r.l. et Cie S.C.A               mandato nr. 52N2224VZTXEJ                         Per 1044448990348/PAYPAL;6,99 €; Unicredit
27/08/2025;Ricavi;Proventi Primo Pilastro;Interest earned - Primo Pilastro - Fondo Emergenza;0,08 €; Revolut
27/08/2025;Ricavi;Proventi Primo Pilastro;Interest earned - Secondo Pilastro - SCC;0,01 €; Revolut
28/08/2025;Ricavi;Proventi Primo Pilastro;Interest earned - Primo Pilastro - Fondo Emergenza;0,09 €; Revolut
28/08/2025;Costi;INVESTIMENTI - SCC;Microgame Www,;50,00 €; Revolut
29/08/2025;Ricavi;Proventi Primo Pilastro;Interest earned - Primo Pilastro - Fondo Emergenza;0,09 €; Revolut
29/08/2025;Ricavi;Proventi Primo Pilastro;Interest earned - Secondo Pilastro - SCC;0,01 €; Revolut
29/08/2025;Costi;INVESTIMENTI - SCC;Microgame Www,;37,00 €;
29/08/2025;Costi;INVESTIMENTI - SCC;Microgame Www,;10,00 €;
30/08/2025;Ricavi;Proventi Primo Pilastro;Interest earned - Primo Pilastro - Fondo Emergenza;0,08 €; Revolut
31/08/2025;Ricavi;Proventi Primo Pilastro;Interest earned - Primo Pilastro - Fondo Emergenza;0,09 €; Revolut
01/09/2025;Costi;BANCA - Mutuo Zia Annamaria;PAGAMENTO RATA MUTUO/PRESTITO                     PAGAMENTO RATA N. 26 DEL FINANZIAMENTO 000/2295949/000 DI UNICREDIT SPA DI CUI INTERESSI EURO 512,37 E ONERI/ASSICURAZIONI EURO 3,00;724,02 €; Unicredit
01/09/2025;Costi;SPESA - Pranzo Lavoro Fuori;PAGAMENTO GOOGLE PAY MASTERCARD NFC del 30/08/2025CARTA *1156    DI EUR           32,00             BAR ITALIA                                        PESCOCOSTANZO;32,00 €; Unicredit
01/09/2025;Costi;BANCA - Costi;MY GENIUS: COSTO FISSO MESE DI AGOSTO 2025;4,00 €; Unicredit
01/09/2025;Costi;UTENZE - Gas;PAYPAL *PAGA IN 3 RATE;30,98 €; CartaDiCredito
01/09/2025;Costi;UTENZE - Gas;PAYPAL *PAGA IN 3 RATE;90,30 €; CartaDiCredito
01/09/2025;Costi;TOOLS - App Smartphone;Google Play Apps;5,99 €; CartaDiCredito
01/09/2025;Ricavi;Proventi Primo Pilastro;Interest earned - Primo Pilastro - Fondo Emergenza;0,06 €;
02/09/2025;Costi;SPESA - Quotidiana;PAGAMENTO GOOGLE PAY MASTERCARD NFC del 31/08/2025CARTA *1156    DI EUR           26,10             LATTICINI SANTA MARIA                             CASORIA;26,10 €; Unicredit
02/09/2025;Costi;SPESA - Quotidiana;PAGAMENTO GOOGLE PAY MASTERCARD NFC del 31/08/2025CARTA *1156    DI EUR           19,54             DECO'                                             CASORIA;19,54 €; Unicredit
02/09/2025;Costi;PIATTAFORME - Dazn;PAGAMENTO MASTERCARD E-Commerce del 30/08/2025    CARTA *1156    DI EUR            9,99             PAYPAL *DAZN DE                                   35314369001;9,99 €; Unicredit
02/09/2025;Costi;TOOLS - App Smartphone;ADDEBITO SEPA DD PER FATTURA A VOSTRO CARICO      Incasso 1044530916847                             SDD da LU96ZZZ0000000000000000058                 PayPal Europe S.a.r.l. et Cie S.C.A               mandato nr. 52N2224VZTXEJ                         Per 1044530916847/PAYPAL;4,99 €; Unicredit
02/09/2025;Costi;UTENZE - Fonia Mobile;WIND TRE PRODOTTI E SE;73,96 €; CartaDiCredito
02/09/2025;Costi;INVESTIMENTI - SCC;Revolut**6063*;10,00 €; CartaDiCredito
02/09/2025;Costi;INVESTIMENTI - SCC;Revolut**6063*;26,00 €; CartaDiCredito
02/09/2025;Costi;SPESA - Quotidiana;DECO';16,94 €; CartaDiCredito
02/09/2025;Costi;SALUTE - Farmaci;FARMACIA COPPOLA;11,00 €; CartaDiCredito
02/09/2025;Costi;TOOLS - Microsoft;Microsoft-G109342752;14,35 €; CartaDiCredito
02/09/2025;Ricavi;Buoni Pasto;Settembre;10,24 €; Buoni Pasto
02/09/2025;Ricavi;Proventi Primo Pilastro;Interest earned - Primo Pilastro - Fondo Emergenza;0,06 €;
02/09/2025;Costi;INVESTIMENTI - SCC;To PayPal Europe S,a,r,l, et Cie S,C,A;50,00 €;
03/09/2025;Ricavi;Proventi Primo Pilastro;Interest earned - Primo Pilastro - Fondo Emergenza;0,07 €;
03/09/2025;Costi;BENI - Tecnologia;Ricarica di Google Pay con *3035;26,00 €;
03/09/2025;Costi;BENI - Tecnologia;Ricarica di Google Pay con *3035;10,00 €;
03/09/2025;Costi;INVESTIMENTI - SCC;PayPal;56,92 €;
04/09/2025;Ricavi;Contributo Beni;BONIFICO A VOSTRO FAVORE                          BONIFICO SEPA DA:                                 A.O.DI RILIEVO NAZIONALE SANTOBONO                PAUSI                                             PER: RIMBORSO ACQUISTO BADGE + 1 LETTORE          COMM:             0,00 SPESE:             0,00    COMM SERV:             0,00                       TRN:1201252470327620;298,32 €; Unicredit
04/09/2025;Costi;AUTO - Pedaggi e Parcheggi;TANA  DIREZ.  USCITA -;1,00 €; CartaDiCredito
04/09/2025;Ricavi;Proventi Primo Pilastro;Interest earned - Primo Pilastro - Fondo Emergenza;0,07 €;
05/09/2025;Ricavi;Proventi Primo Pilastro;Interest earned - Primo Pilastro - Fondo Emergenza;0,06 €;
06/09/2025;Costi;SPESA - Quotidiana;LATTICINI SANTA MARIA;48,50 €; CartaDiCredito
06/09/2025;Costi;SPESA - Quotidiana;DECO';109,75 €; CartaDiCredito
06/09/2025;Ricavi;Proventi Primo Pilastro;Interest earned - Primo Pilastro - Fondo Emergenza;0,06 €;
07/09/2025;Ricavi;Proventi Primo Pilastro;Interest earned - Primo Pilastro - Fondo Emergenza;0,07 €;
08/09/2025;Costi;SPESA - Pranzo Lavoro Fuori;PAGAMENTO GOOGLE PAY MASTERCARD NFC del 04/09/2025CARTA *1156    DI EUR            5,40             BAR PUNTO RISTORO SAGI                            NAPOLI;5,40 €; Unicredit
08/09/2025;Ricavi;Proventi Primo Pilastro;Interest earned - Primo Pilastro - Fondo Emergenza;0,06 €;
09/09/2025;Costi;SPESA - Quotidiana;SumUp  *Leone distribu;30,00 €; CartaDiCredito
09/09/2025;Costi;AUTO - Pedaggi e Parcheggi;TANA  DIREZ.  USCITA -;1,00 €; CartaDiCredito
09/09/2025;Costi;SPESA - Quotidiana;MATTERA;0,60 €; CartaDiCredito
09/09/2025;Ricavi;Proventi Primo Pilastro;Interest earned - Primo Pilastro - Fondo Emergenza;0,06 €;
10/09/2025;Costi;FAMIGLIA - Feste;PAGAMENTO GOOGLE PAY MASTERCARD NFC del 08/09/2025CARTA *1156    DI EUR           28,50             COLMAYER FOOD                                     NAPOLI;28,50 €; Unicredit
10/09/2025;Costi;SPESA - Quotidiana;PAGAMENTO GOOGLE PAY MASTERCARD NFC del 08/09/2025CARTA *1156    DI EUR           10,00             SOUL BAR                                          NAPOLI;10,00 €; Unicredit
10/09/2025;Costi;SPESA - Quotidiana;DECO';14,02 €; CartaDiCredito
10/09/2025;Ricavi;Proventi Primo Pilastro;Interest earned - Primo Pilastro - Fondo Emergenza;0,07 €;
11/09/2025;Costi;PIATTAFORME - Spotify;PAGAMENTO MASTERCARD E-Commerce del 09/09/2025    CARTA *1156    DI EUR           11,99             PAYPAL *SPOTIFY*P3A5D6                            35314369001;11,99 €; Unicredit
11/09/2025;Ricavi;Proventi Primo Pilastro;Interest earned - Primo Pilastro - Fondo Emergenza;0,06 €;
12/09/2025;Costi;SALUTE - Farmaci;PAGAMENTO GOOGLE PAY MASTERCARD NFC del 10/09/2025CARTA *1156    DI EUR           10,00             FARMACIA COPPOLA                                  CASORIA;10,00 €; Unicredit
12/09/2025;Costi;SPESA - Quotidiana;PAGAMENTO GOOGLE PAY MASTERCARD NFC del 10/09/2025CARTA *1156    DI EUR            5,86             G. PESCA SRL                                      CASORIA NAPOL;5,86 €; Unicredit
12/09/2025;Costi;BENI - Acquisti Personale;PAYPAL *PAGA IN 3 RATE;91,67 €; CartaDiCredito
12/09/2025;Ricavi;Proventi Primo Pilastro;Interest earned - Primo Pilastro - Fondo Emergenza;0,07 €;
13/09/2025;Costi;SPESA - Pranzo Lavoro Fuori;DropPOS;89,00 €; CartaDiCredito
13/09/2025;Ricavi;Proventi Primo Pilastro;Interest earned - Primo Pilastro - Fondo Emergenza;0,06 €;
14/09/2025;Costi;HOBBY - Calcio Napoli;PAYPAL *PAGA IN 3 RATE;201,59 €; CartaDiCredito
14/09/2025;Ricavi;Proventi Primo Pilastro;Interest earned - Primo Pilastro - Fondo Emergenza;0,06 €;
15/09/2025;Costi;SPESA - Quotidiana;PAGAMENTO GOOGLE PAY MASTERCARD NFC del 11/09/2025CARTA *1156    DI EUR            3,40             LATTICINI SANTA MARIA                             CASORIA;3,40 €; Unicredit
15/09/2025;Costi;USCITE - Amici;PINGUINO REALE;6,00 €; CartaDiCredito
15/09/2025;Costi;USCITE - Amici;BLACKBURGER;90,00 €; CartaDiCredito
15/09/2025;Ricavi;Proventi Primo Pilastro;Interest earned - Primo Pilastro - Fondo Emergenza;0,07 €;
15/09/2025;Costi;SPESA - Quotidiana;Espresso Mat;5,00 €;
16/09/2025;Costi;SPESA - Quotidiana;PAGAMENTO GOOGLE PAY MASTERCARD NFC del 13/09/2025CARTA *1156    DI EUR           35,00             LATTICINI SANTA MARIA                             CASORIA;35,00 €; Unicredit
16/09/2025;Ricavi;Proventi Primo Pilastro;Interest earned - Primo Pilastro - Fondo Emergenza;0,07 €;
17/09/2025;Costi;UTENZE - Fonia Mobile;W3;15,00 €; CartaDiCredito
17/09/2025;Ricavi;Proventi Primo Pilastro;Interest earned - Primo Pilastro - Fondo Emergenza;0,06 €;
18/09/2025;Ricavi;Proventi Primo Pilastro;Interest earned - Primo Pilastro - Fondo Emergenza;0,06 €;
19/09/2025;Costi;SALUTE - Farmaci;PAGAMENTO GOOGLE PAY MASTERCARD NFC del 17/09/2025CARTA *1156    DI EUR           16,83             FARMACIA MAGLIONE ALFO                            CASORIA;16,83 €; Unicredit
19/09/2025;Ricavi;Proventi Primo Pilastro;Interest earned - Primo Pilastro - Fondo Emergenza;0,07 €;
20/09/2025;Ricavi;Proventi Primo Pilastro;Interest earned - Primo Pilastro - Fondo Emergenza;0,06 €;
21/09/2025;Ricavi;Proventi Primo Pilastro;Interest earned - Primo Pilastro - Fondo Emergenza;0,06 €;
22/09/2025;Costi;HOBBY - Formazione;PRELIEVO MASTERCARD DEL 22/09/25 CARTA *1156 UNICREDIT ATM 7920 CAB 03435 NAPOLI (NA) - VIA GIORDANO BRUNO, 172 A;40,00 €; Unicredit
22/09/2025;Costi;SPESA - Quotidiana;PAGAMENTO GOOGLE PAY MASTERCARD NFC del 18/09/2025CARTA *1156    DI EUR           15,00             BAR SGAMBATI                                      CASORIA;15,00 €; Unicredit
22/09/2025;Costi;SPESA - Quotidiana;PAGAMENTO GOOGLE PAY MASTERCARD NFC del 19/09/2025CARTA *1156    DI EUR           10,38             DECO'                                             CASORIA;10,38 €; Unicredit
22/09/2025;Costi;SPESA - Quotidiana;SumUp  *MARKET A MERGE;1,00 €; CartaDiCredito
22/09/2025;Costi;SPESA - Quotidiana;MATTERA;3,80 €; CartaDiCredito
22/09/2025;Costi;HOBBY - Formazione;UNICREDIT  ATM N.7920;180,00 €; CartaDiCredito
22/09/2025;Costi;AG.ENTRATE - Conguaglio 730;UNICREDIT  ATM N.7920;7,20 €; CartaDiCredito
22/09/2025;Ricavi;Proventi Primo Pilastro;Interest earned - Primo Pilastro - Fondo Emergenza;0,07 €;
22/09/2025;Costi;SPESA - Quotidiana;Pagamento a favore di FEDERICA MALINCONICO;5,00 €;
23/09/2025;Ricavi;Stipendio;VOSTRI EMOLUMENTI                                 STIPENDIO MESE SETTEMBRE  25                      O.C. A.O.DI RILIEVO NAZIONALE SANTOBONO;2.905,28 €; Unicredit
23/09/2025;Costi;SPESA - Pranzo Lavoro Fuori;PAGAMENTO GOOGLE PAY MASTERCARD NFC del 21/09/2025CARTA *1156    DI EUR            7,00             GELATERIA DEL GALLO                               NAPOLI;7,00 €; Unicredit
23/09/2025;Ricavi;Proventi Primo Pilastro;Interest earned - Primo Pilastro - Fondo Emergenza;0,07 €;
23/09/2025;Ricavi;Proventi Primo Pilastro;Interest earned - Secondo Pilastro - SCC;0,01 €;
24/09/2025;Costi;SPESA - Pranzo Lavoro Fuori;PAGAMENTO GOOGLE PAY MASTERCARD NFC del 22/09/2025CARTA *1156    DI EUR            4,00             LA FOCACCIA                                       NAPOLI;4,00 €; Unicredit
24/09/2025;Costi;RISPARMI - Conto Deposito Peppe;DISPOSIZIONE DI BONIFICO                          BONIFICO ISTANTANEO DEL 24.09.2025 ALLE 00.10.38  A: GIUSEPPE D'ANNA (REV)                          PER: Giroconto Risparmio                          TRN: 1191252671115032                             COMM: 2.47                                        COMM SERV:;302,47 €; Unicredit
24/09/2025;Ricavi;Proventi Primo Pilastro;Interest earned - Primo Pilastro - Fondo Emergenza;0,06 €;
24/09/2025;Costi;INVESTIMENTI - SCC;Scommettendo;101,00 €;
25/09/2025;Costi;SPESA - Pranzo Lavoro Fuori;PAGAMENTO GOOGLE PAY MASTERCARD NFC del 23/09/2025CARTA *1156    DI EUR            7,00             CASA LOTTI                                        NAPOLI;7,00 €; Unicredit
25/09/2025;Ricavi;Proventi Primo Pilastro;Interest earned - Primo Pilastro - Fondo Emergenza;0,08 €;
26/09/2025;Costi;SALUTE - Farmaci;PAGAMENTO MASTERCARD Contactless del 24/09/2025   CARTA *1156    DI EUR           14,90             FARMACIA MAGLIONE ALFO                            CASORIA;14,90 €; Unicredit
26/09/2025;Costi;USCITE - Amici;PAGAMENTO MASTERCARD Contactless del 24/09/2025   CARTA *1156    DI EUR            7,00             SANDROPIZZETTATA                                  NAPOLI;7,00 €; Unicredit
26/09/2025;Costi;USCITE - Amici;PAGAMENTO MASTERCARD Contactless del 24/09/2025   CARTA *1156    DI EUR            7,00             SANDROPIZZETTATA                                  NAPOLI;7,00 €; Unicredit
26/09/2025;Costi;SPESA - Pranzo Lavoro Fuori;PAGAMENTO GOOGLE PAY MASTERCARD NFC del 24/09/2025CARTA *1156    DI EUR            3,00             MACELLERIA ANTINORI                               NAPOLI;3,00 €; Unicredit
26/09/2025;Ricavi;Proventi Primo Pilastro;Interest earned - Primo Pilastro - Fondo Emergenza;0,07 €;
27/09/2025;Ricavi;Proventi Primo Pilastro;Interest earned - Primo Pilastro - Fondo Emergenza;0,07 €;
28/09/2025;Ricavi;Proventi Primo Pilastro;Interest earned - Primo Pilastro - Fondo Emergenza;0,08 €;
29/09/2025;Costi;SPESA - Pranzo Lavoro Fuori;PAGAMENTO GOOGLE PAY MASTERCARD NFC del 25/09/2025CARTA *1156    DI EUR            5,50             R.C. S.R.L.                                       NAPOLI;5,50 €; Unicredit
29/09/2025;Costi;TOOLS - App Smartphone;PAGAMENTO MASTERCARD E-Commerce del 27/09/2025    CARTA *1156    DI EUR           12,49             GOOGLE*GOOGLE PLAY APP                            G.CO/HELPPAYŁ;12,49 €; Unicredit
29/09/2025;Costi;SPESA - Quotidiana;PAGAMENTO GOOGLE PAY MASTERCARD NFC del 25/09/2025CARTA *1156    DI EUR            2,50             LATTICINI SANTA MARIA                             CASORIA;2,50 €; Unicredit
29/09/2025;Costi;SPESA - Quotidiana;PAGAMENTO GOOGLE PAY MASTERCARD NFC del 25/09/2025CARTA *1156    DI EUR            2,40             NEO CAFFE' SRL                                    Casoria;2,40 €; Unicredit
29/09/2025;Costi;PIATTAFORME - Sony Playstation;ADDEBITO SEPA DD PER FATTURA A VOSTRO CARICO      Incasso 1045093716984                             SDD da LU96ZZZ0000000000000000058                 PayPal Europe S.a.r.l. et Cie S.C.A               mandato nr. 52N2224VZTXEJ                         Per 1045093716984/PAYPAL;8,99 €; Unicredit
29/09/2025;Ricavi;Proventi Primo Pilastro;Interest earned - Primo Pilastro - Fondo Emergenza;0,07 €;
29/09/2025;Costi;INVESTIMENTI - SCC;PayPal Europe S,a,r,l, et Cie S,C,A;100,00 €;
30/09/2025;Costi;BANCA - Costi;COMPETENZE (INTERESSI/ONERI); -   € ; Unicredit
30/09/2025;Costi;PIATTAFORME - Netflix;ADDEBITO SEPA DD PER FATTURA A VOSTRO CARICO      Incasso 1045124612268                             SDD da LU96ZZZ0000000000000000058                 PayPal Europe S.a.r.l. et Cie S.C.A               mandato nr. 52N2224VZTXEJ                         Per 1045124612268/PAYPAL;6,99 €; Unicredit
30/09/2025;Costi;SPESA - Quotidiana;Settembre;10,24 €; Buoni Pasto
30/09/2025;Ricavi;Assegno Unico;Ottobre;54,00 €; Unicredit Miky
30/09/2025;Costi;INVESTIMENTI - SCC;Da Paypal residui;200,00 €; Unicredit
30/09/2025;Ricavi;Proventi Primo Pilastro;Interest earned - Primo Pilastro - Fondo Emergenza;0,08 €;
30/09/2025;Costi;INVESTIMENTI - SCC;PayPal Europe S,a,r,l, et Cie S,C,A;50,00 €;
01/10/2025;Costi;SPESA - Delivery;PAGAMENTO GOOGLE PAY MASTERCARD NFC del 01/10/2025CARTA *1156    DI EUR           10,00             ROYAL BEEF                                        NAPOLI;10,00 €; Unicredit
01/10/2025;Costi;SPESA - Quotidiana;PAGAMENTO GOOGLE PAY MASTERCARD NFC del 01/10/2025CARTA *1156    DI EUR            2,50             SumUp  *LA FOCACCIA SN                            NAPOLI;2,50 €; Unicredit
01/10/2025;Costi;PIATTAFORME - Dazn;PAGAMENTO MASTERCARD E-Commerce del 30/09/2025    CARTA *1156    DI EUR            9,99             PAYPAL *DAZN DE                                   35314369001;9,99 €; Unicredit
01/10/2025;Costi;SALUTE - Farmaci;PAGAMENTO MASTERCARD Contactless del 30/09/2025   CARTA *1156    DI EUR            6,90             FARMACIA MANDANICI DELLA                          CASORIA;6,90 €; Unicredit
01/10/2025;Costi;SALUTE - Farmaci;PAGAMENTO GOOGLE PAY MASTERCARD NFC del 29/09/2025CARTA *1156    DI EUR            1,65             FARMACIA COPPOLA                                  CASORIA;1,65 €; Unicredit
01/10/2025;Costi;FAMIGLIA - Miky;PAGAMENTO GOOGLE PAY MASTERCARD NFC del 29/09/2025CARTA *1156    DI EUR           53,97             DECATHLON 00000412                                CASORIA;53,97 €; Unicredit
01/10/2025;Costi;SPESA - Quotidiana;PAGAMENTO GOOGLE PAY MASTERCARD NFC del 29/09/2025CARTA *1156    DI EUR           20,00             GELATERIA MALIBU'                                 CASORIA;20,00 €; Unicredit
01/10/2025;Costi;BANCA - Mutuo Zia Annamaria;PAGAMENTO RATA MUTUO/PRESTITO                     PAGAMENTO RATA N. 27 DEL FINANZIAMENTO 000/2295949/000 DI UNICREDIT SPA DI CUI INTERESSI EURO 511,59 E ONERI/ASSICURAZIONI EURO 3,00;724,02 €; Unicredit
01/10/2025;Costi;BANCA - Costi;MY GENIUS: COSTO FISSO MESE DI SETTEMBRE 2025;4,00 €; Unicredit
01/10/2025;Ricavi;Proventi Primo Pilastro;Interest earned - Primo Pilastro - Fondo Emergenza;0,06 €; Revolut
01/10/2025;Costi;INVESTIMENTI - Lungo Termine (BTP,Mercati);To Robo portfolio;363,40 €; Revolut
02/10/2025;Costi;SPESA - Quotidiana;PAGAMENTO GOOGLE PAY MASTERCARD NFC del 02/10/2025CARTA *1156    DI EUR            3,60             COFFEE ISLAND                                     CASORIA;3,60 €; Unicredit
02/10/2025;Costi;SPESA - Quotidiana;PAGAMENTO GOOGLE PAY MASTERCARD NFC del 02/10/2025CARTA *1156    DI EUR            2,40             GE.CO S.N.C. DI RUOCCO                            NAPOLI;2,40 €; Unicredit
